"";"[0,5)";"[5,10)";"[10,15)";"[15,20)";"[20,25)";"[25,30)";"[30,35)";"[35,40)";"[40,45)";"[45,50)";"[50,55)";"[55,60)";"[60,65)";"[65,70)";"[70,75)";"75+"
"1";5,55050317446085e-07;2,26913875309775e-07;1,22969348029879e-07;7,57235503542071e-08;1,2427149303247e-07;2,10784097119768e-07;2,12776978830408e-07;2,28823776396233e-07;9,3878895554081e-08;6,85733157379523e-08;9,78414556234026e-08;6,86414120814889e-08;7,06373735993413e-08;5,50743095745207e-08;4,22658692384679e-08;3,44164831551104e-09
"2";2,26913875309775e-07;1,86611049186747e-06;3,24778528669663e-07;1,46449005494401e-07;1,24706768555998e-07;1,92372903732511e-07;2,61775767232948e-07;2,99264394607164e-07;2,34454977891882e-07;9,06343043200749e-08;9,55198215277266e-08;5,76322586767898e-08;1,11072277816227e-07;8,76268669154911e-08;3,17500040366879e-08;4,97816520343151e-08
"3";1,22969348029879e-07;3,24778528669663e-07;1,79232007310327e-06;3,29343122832481e-07;6,30908754007031e-08;9,86879429942546e-08;1,37317958782061e-07;2,3376865678399e-07;2,5300327060641e-07;1,6166976571453e-07;9,72428198431956e-08;9,07966059100213e-08;6,54675689712514e-08;7,50304622047988e-08;7,44638905006004e-08;3,04347891966488e-08
"4";7,57235503542071e-08;1,46449005494401e-07;3,29343122832481e-07;1,69680658473594e-06;3,1872734987517e-07;1,91085856742428e-07;1,12073499913803e-07;1,86084487321652e-07;2,09354753871043e-07;2,43790295889574e-07;1,44748568762714e-07;8,01702570464128e-08;6,298272805839e-08;9,78203663270332e-08;1,02080661482935e-07;6,03811462114335e-08
"5";1,2427149303247e-07;1,24706768555998e-07;6,30908754007031e-08;3,1872734987517e-07;6,64344010007366e-07;3,62712445084055e-07;2,01824570323021e-07;1,61783768739762e-07;1,77501874991009e-07;2,32962068348355e-07;1,73558977628446e-07;1,28252121506925e-07;9,77573993543422e-08;8,19158052171212e-08;6,69006916662244e-08;3,67710483727135e-08
"6";2,10784097119768e-07;1,92372903732511e-07;9,86879429942546e-08;1,91085856742428e-07;3,62712445084055e-07;4,87873702616774e-07;2,71182529134616e-07;1,96321132563809e-07;1,93600551688594e-07;2,30798879496128e-07;2,34402825092946e-07;1,83342557236129e-07;1,43076786240877e-07;1,39454619029933e-07;7,62650287088734e-08;2,64262492623494e-08
"7";2,12776978830408e-07;2,61775767232948e-07;1,37317958782061e-07;1,12073499913803e-07;2,01824570323021e-07;2,71182529134616e-07;3,99971650009447e-07;2,69657966335835e-07;2,09702878523097e-07;1,80156739248105e-07;1,93945362373037e-07;1,60926415763787e-07;1,54900640752359e-07;1,00204440254487e-07;3,96386002995955e-08;5,86906284291983e-08
"8";2,28823776396233e-07;2,99264394607164e-07;2,3376865678399e-07;1,86084487321652e-07;1,61783768739762e-07;1,96321132563809e-07;2,69657966335835e-07;3,19656101180106e-07;2,72971572968872e-07;2,16577728561855e-07;1,73814734823567e-07;1,40766823198436e-07;1,69878808895114e-07;1,58077701425776e-07;6,03577323811461e-08;6,74622633096804e-08
"9";9,3878895554081e-08;2,34454977891882e-07;2,5300327060641e-07;2,09354753871043e-07;1,77501874991009e-07;1,93600551688594e-07;2,09702878523097e-07;2,72971572968872e-07;2,91238463203695e-07;3,02677089710505e-07;1,94305618438095e-07;1,419530779734e-07;1,75803232628256e-07;1,2933014606861e-07;1,42552237175772e-07;9,30585954173987e-08
"10";6,85733157379523e-08;9,06343043200749e-08;1,6166976571453e-07;2,43790295889574e-07;2,32962068348355e-07;2,30798879496128e-07;1,80156739248105e-07;2,16577728561855e-07;3,02677089710505e-07;4,69769639563543e-07;2,06871925130518e-07;1,65136302932748e-07;1,6328449526957e-07;9,78588860045143e-08;1,3787855006073e-07;7,14196921492427e-08
