"";"[0,5)";"[5,10)";"[10,15)";"[15,20)";"[20,25)";"[25,30)";"[30,35)";"[35,40)";"[40,45)";"[45,50)";"[50,55)";"[55,60)";"[60,65)";"[65,70)";"[70,75)";"75+"
"1";1,40287442870989e-07;1,46777038735601e-07;8,64369262513664e-08;4,33059965340201e-08;5,46991968288636e-08;1,18194758532834e-07;1,39373640227592e-07;1,11955373490661e-07;5,42069540194285e-08;5,00964374829398e-08;5,84287022869232e-08;4,30675368519822e-08;4,87433233546517e-08;3,99771123556888e-08;1,78406156783387e-08;2,04021863852645e-08
"2";1,46777038735601e-07;2,64618326764073e-07;1,77469517021494e-07;6,75189938812131e-08;4,37908680120439e-08;9,18440333318714e-08;1,72536933524922e-07;1,69358637940305e-07;1,35206721375863e-07;4,38110614127625e-08;2,92521888701633e-08;2,8187734216955e-08;6,29910586251884e-08;4,73231446269904e-08;1,69732658649602e-08;5,69908746376256e-08
"3";8,64369262513664e-08;1,77469517021494e-07;2,10257862653031e-07;1,39203201680831e-07;1,64006231272236e-08;2,77869158736056e-08;8,69430991380329e-08;1,43068818295413e-07;1,61302500616527e-07;7,35386584519915e-08;3,93270563219815e-08;5,36443666393984e-08;4,30121145482404e-08;5,80925386358585e-08;4,61480907563738e-08;1,95517235255816e-08
"4";4,33059965340201e-08;6,75189938812131e-08;1,39203201680832e-07;2,43088602919617e-07;1,11881285913936e-07;3,83915192702288e-08;3,26670042887877e-08;7,40980732013984e-08;1,2360064620248e-07;1,24148550030018e-07;6,30844315455827e-08;4,17128472462037e-08;2,9811474164609e-08;6,3854645606872e-08;5,20587287325838e-08;5,04980987209075e-08
"5";5,46991968288636e-08;4,37908680120439e-08;1,64006231272236e-08;1,11881285913936e-07;1,78026826211124e-07;1,19953264717068e-07;3,93491716248236e-08;3,27466580320658e-08;5,30949266116692e-08;1,03976473934462e-07;7,66704292225596e-08;4,6046368809038e-08;2,8314272804846e-08;1,57563583392595e-08;9,44719152350155e-09;2,34004085556477e-08
"6";1,18194758532834e-07;9,18440333318714e-08;2,77869158736056e-08;3,83915192702288e-08;1,19953264717068e-07;1,21968425654194e-07;7,23313301406901e-08;2,75783666190502e-08;3,24240955452063e-08;2,97155687500553e-08;6,24170114790443e-08;6,4672884255961e-08;5,06545503368843e-08;2,4208907051355e-08;1,57395153545081e-08;3,69442474546383e-09
"7";1,39373640227592e-07;1,72536933524922e-07;8,69430991380329e-08;3,26670042887877e-08;3,93491716248236e-08;7,23313301406901e-08;1,47989510503496e-07;6,3067378033691e-08;3,78429398523585e-08;2,37245050087076e-08;4,52363174123592e-08;4,1620580557566e-08;4,69063984837375e-08;3,28283365915833e-08;7,12878593781389e-09;3,18142992505616e-08
"8";1,11955373490661e-07;1,69358637940305e-07;1,43068818295413e-07;7,40980732013984e-08;3,27466580320658e-08;2,75783666190502e-08;6,3067378033691e-08;1,2481809665128e-07;7,02361848989171e-08;2,862302785917e-08;4,50772331807634e-08;2,84628840709892e-08;5,83737706551884e-08;5,66495500302651e-08;1,70640501536999e-08;1,95467487867625e-08
"9";5,42069540194285e-08;1,35206721375863e-07;1,61302500616527e-07;1,2360064620248e-07;5,30949266116692e-08;3,24240955452063e-08;3,78429398523585e-08;7,02361848989171e-08;7,97438649248212e-08;4,98864746972222e-08;3,4143932152156e-08;1,60003269158424e-08;5,93276666886311e-08;6,66618829141058e-08;6,40886683618709e-08;2,74977567086718e-08
"10";5,00964374829398e-08;4,38110614127625e-08;7,35386584519915e-08;1,24148550030018e-07;1,03976473934462e-07;2,97155687500553e-08;2,37245050087076e-08;2,862302785917e-08;4,98864746972222e-08;1,36826108610741e-07;4,47326570374841e-08;5,34861784172147e-08;2,40468115122724e-08;2,32266542394776e-08;4,01707253739634e-08;3,15304323376376e-08
"11";5,84287022869232e-08;2,92521888701633e-08;3,93270563219815e-08;6,30844315455827e-08;7,66704292225596e-08;6,24170114790443e-08;4,52363174123592e-08;4,50772331807634e-08;3,4143932152156e-08;4,47326570374841e-08;7,96888136727147e-08;6,62595064879628e-08;4,18069609865488e-08;1,30539801403839e-08;4,46070319949909e-08;4,28582012710969e-08
"12";4,30675368519822e-08;2,8187734216955e-08;5,36443666393984e-08;4,17128472462037e-08;4,6046368809038e-08;6,4672884255961e-08;4,1620580557566e-08;2,84628840709892e-08;1,60003269158424e-08;5,34861784172147e-08;6,62595064879628e-08;9,97053592684635e-08;8,03264245338458e-08;2,10920226685119e-08;3,96043663211883e-09;5,82854084135343e-08
"13";4,87433233546517e-08;6,29910586251884e-08;4,30121145482404e-08;2,9811474164609e-08;2,8314272804846e-08;5,06545503368843e-08;4,69063984837375e-08;5,83737706551884e-08;5,93276666886311e-08;2,40468115122724e-08;4,18069609865488e-08;8,03264245338458e-08;1,30904985728738e-07;8,63060710214656e-08;4,2051425806452e-08;6,60518363582928e-09
"14";3,99771123556888e-08;4,73231446269904e-08;5,80925386358585e-08;6,3854645606872e-08;1,57563583392595e-08;2,4208907051355e-08;3,28283365915833e-08;5,66495500302651e-08;6,66618829141058e-08;2,32266542394776e-08;1,30539801403839e-08;2,10920226685119e-08;8,63060710214656e-08;1,50664798149234e-07;9,05174741524158e-08;4,03650111078456e-09
"15";1,78406156783387e-08;1,69732658649602e-08;4,61480907563738e-08;5,20587287325838e-08;9,44719152350155e-09;1,57395153545081e-08;7,12878593781389e-09;1,70640501536999e-08;6,40886683618709e-08;4,01707253739634e-08;4,46070319949909e-08;3,96043663211883e-09;4,2051425806452e-08;9,05174741524158e-08;1,16652860800591e-07;7,8235333167964e-08
"16";2,04021863852645e-08;5,69908746376256e-08;1,95517235255816e-08;5,04980987209075e-08;2,34004085556477e-08;3,69442474546383e-09;3,18142992505616e-08;1,95467487867625e-08;2,74977567086718e-08;3,15304323376376e-08;4,2858201271097e-08;5,82854084135343e-08;6,60518363582928e-09;4,03650111078456e-09;7,8235333167964e-08;1,36231912488979e-07
