"";"[0,5)";"[5,10)";"[10,15)";"[15,20)";"[20,25)";"[25,30)";"[30,35)";"[35,40)";"[40,45)";"[45,50)";"[50,55)";"[55,60)";"[60,65)";"[65,70)";"[70,75)";"75+"
"1";1,12839899700578e-07;7,26188538368348e-08;3,79963260786986e-08;2,42388330687467e-08;7,58312154229518e-08;9,1188447212624e-08;6,82392956154342e-08;1,06600256620366e-07;5,02967155267503e-08;2,90122988658772e-08;4,45214618284146e-08;2,42406408210934e-08;2,291549341029e-08;1,50971972188319e-08;2,21740580008195e-08;1,14721610517035e-09
"2";7,26188538368348e-08;2,59105444956488e-07;8,41353996839581e-08;6,10248590961119e-08;7,84042834357632e-08;1,08522836766683e-07;7,86317495676418e-08;1,22674353671639e-07;1,21442424687918e-07;3,60464643168867e-08;6,02396346695278e-08;2,4327638676049e-08;2,2637112591381e-08;3,35161245812706e-08;1,47767381717277e-08;7,47939911704197e-09
"3";3,79963260786986e-08;8,41353996839581e-08;3,58976838675906e-07;1,2672902356726e-07;4,0411209503001e-08;5,44301015082558e-08;4,29699920545625e-08;4,89756533944071e-08;8,01183359000761e-08;7,30487344507471e-08;4,15245409005937e-08;2,21626676920272e-08;1,57683539738962e-08;2,66246001681315e-08;2,83157997442265e-08;9,61637029333968e-09
"4";2,42388330687467e-08;6,10248590961119e-08;1,2672902356726e-07;6,9797717669989e-07;1,94944977531806e-07;1,34132777650262e-07;6,14812506716994e-08;9,67646950164392e-08;9,28918286537914e-08;1,15691763904114e-07;8,06914215928392e-08;3,34720798981339e-08;3,3952758815322e-08;4,21676785611734e-08;4,05716435361123e-08;3,11387228546237e-09
"5";7,58312154229518e-08;7,84042834357632e-08;4,04112095030011e-08;1,94944977531806e-07;4,25527535821711e-07;2,60653345374364e-07;1,64509152850788e-07;1,25425177361028e-07;1,18697521726886e-07;1,46804728081287e-07;1,04246644157554e-07;8,24050795091755e-08;6,28497571078217e-08;6,30254333570379e-08;5,74535001427228e-08;1,10832742363915e-08
"6";9,11884472126239e-08;1,08522836766683e-07;5,44301015082557e-08;1,34132777650262e-07;2,60653345374364e-07;3,34283833274456e-07;2,03480534761333e-07;1,54099485950471e-07;1,56877688453066e-07;2,0197464800013e-07;1,67947577298752e-07;1,18374617911801e-07;1,03962014573311e-07;1,15245711978578e-07;5,44681588816402e-08;2,27318245168856e-08
"7";6,82392956154342e-08;7,86317495676418e-08;4,29699920545625e-08;6,14812506716994e-08;1,64509152850788e-07;2,03480534761333e-07;2,39982990005668e-07;1,99857337473743e-07;1,59176505835104e-07;1,67158022639022e-07;1,50527097915266e-07;1,1503274838043e-07;1,08963765135176e-07;5,98501942562112e-08;3,25098143617816e-08;6,97304345367918e-08
"8";1,06600256620366e-07;1,22674353671639e-07;4,89756533944071e-08;9,67646950164392e-08;1,25425177361028e-07;1,54099485950471e-07;1,99857337473743e-07;1,79616285425012e-07;2,18019478460512e-07;1,80933158057294e-07;1,30714742884307e-07;1,065262445826e-07;9,53607907055765e-08;9,48402540941663e-08;4,32936822274462e-08;5,93318038507788e-08
"9";5,02967155267503e-08;1,21442424687918e-07;8,01183359000761e-08;9,28918286537914e-08;1,18697521726886e-07;1,56877688453066e-07;1,59176505835104e-07;2,18019478460512e-07;2,28830221088617e-07;2,50698879174519e-07;1,56300819241997e-07;1,17836733097075e-07;1,19056130174421e-07;5,96858954492043e-08;7,84635688139011e-08;6,36415376119339e-08
"10";2,90122988658772e-08;3,60464643168867e-08;7,30487344507471e-08;1,15691763904114e-07;1,46804728081287e-07;2,0197464800013e-07;1,67158022639022e-07;1,80933158057294e-07;2,50698879174519e-07;3,37504401239827e-07;1,61523141859805e-07;1,11650124515533e-07;1,30627596215656e-07;7,46322317650368e-08;9,77078246867667e-08;3,76495467242269e-08
"11";4,45214618284146e-08;6,02396346695278e-08;4,15245409005937e-08;8,06914215928392e-08;1,04246644157554e-07;1,67947577298752e-07;1,50527097915266e-07;1,30714742884307e-07;1,56300819241997e-07;1,61523141859805e-07;1,42601034993279e-07;1,94353094051532e-07;1,05431419594554e-07;1,05863007018019e-07;8,0061469327195e-08;1,11262958327022e-07
"12";2,42406408210934e-08;2,4327638676049e-08;2,21626676920272e-08;3,34720798981339e-08;8,24050795091755e-08;1,18374617911801e-07;1,1503274838043e-07;1,065262445826e-07;1,17836733097075e-07;1,11650124515533e-07;1,94353094051532e-07;2,04158592787806e-07;1,51863042439709e-07;1,29976335969008e-07;7,64324857534409e-08;3,6328509997061e-08
"13";2,291549341029e-08;2,2637112591381e-08;1,57683539738962e-08;3,3952758815322e-08;6,28497571078217e-08;1,03962014573311e-07;1,08963765135176e-07;9,53607907055765e-08;1,19056130174421e-07;1,30627596215656e-07;1,05431419594554e-07;1,51863042439709e-07;7,75733248762895e-08;1,37481121326332e-07;9,4615708064517e-08;1,71684912242939e-07
"14";1,50971972188319e-08;3,35161245812706e-08;2,66246001681314e-08;4,21676785611733e-08;6,30254333570379e-08;1,15245711978578e-07;5,98501942562112e-08;9,48402540941663e-08;5,96858954492043e-08;7,46322317650368e-08;1,05863007018019e-07;1,29976335969008e-07;1,37481121326332e-07;1,78058397812731e-07;1,57272328512119e-07;4,03650111078456e-08
"15";2,21740580008195e-08;1,47767381717277e-08;2,83157997442265e-08;4,05716435361122e-08;5,74535001427228e-08;5,44681588816402e-08;3,25098143617816e-08;4,32936822274462e-08;7,84635688139011e-08;9,77078246867667e-08;8,0061469327195e-08;7,64324857534409e-08;9,4615708064517e-08;1,57272328512119e-07;1,36095004267356e-07;7,43083159030794e-08
"16";1,14721610517035e-09;7,47939911704198e-09;9,61637029333968e-09;3,11387228546237e-09;1,10832742363915e-08;2,27318245168856e-08;6,97304345367918e-08;5,93318038507788e-08;6,36415376119339e-08;3,76495467242269e-08;1,11262958327022e-07;3,6328509997061e-08;1,71684912242939e-07;4,03650111078456e-08;7,43083159030794e-08;2,72463824977958e-08
