,Care home,Hospital,Elsewhere
02/03/2020,0,0,0
03/03/2020,0,0,0
04/03/2020,0,0,0
05/03/2020,0,0,0
06/03/2020,2,0,0
07/03/2020,0,0,0
08/03/2020,0,0,0
09/03/2020,0,1,0
10/03/2020,0,0,0
11/03/2020,0,1,0
12/03/2020,0,2,0
13/03/2020,1,2,0
14/03/2020,0,1,0
15/03/2020,0,5,0
16/03/2020,2,6,0
17/03/2020,3,12,0
18/03/2020,2,8,0
19/03/2020,5,6,0
20/03/2020,4,13,0
21/03/2020,6,11,0
22/03/2020,7,16,0
23/03/2020,6,19,1
24/03/2020,15,18,0
25/03/2020,18,27,0
26/03/2020,18,27,0
27/03/2020,29,35,0
28/03/2020,26,41,0
29/03/2020,29,52,0
30/03/2020,45,62,0
31/03/2020,55,76,0
01/04/2020,77,74,0
02/04/2020,99,88,0
03/04/2020,137,91,3
04/04/2020,141,95,0
05/04/2020,177,112,0
06/04/2020,191,83,0
07/04/2020,226,130,1
08/04/2020,256,125,0
09/04/2020,275,106,4
10/04/2020,287,114,2
11/04/2020,323,122,2
12/04/2020,373,120,2
13/04/2020,295,117,2
14/04/2020,337,112,4
15/04/2020,346,119,1
16/04/2020,403,123,0
17/04/2020,433,105,2
18/04/2020,375,123,1
19/04/2020,350,116,4
20/04/2020,345,135,0
21/04/2020,337,96,3
22/04/2020,381,109,2
23/04/2020,361,95,2
24/04/2020,358,95,1
25/04/2020,362,82,0
26/04/2020,325,76,1
27/04/2020,302,85,2
28/04/2020,305,79,1
29/04/2020,304,87,1
30/04/2020,277,57,2
01/05/2020,299,55,2
02/05/2020,276,54,1
03/05/2020,243,67,2
04/05/2020,245,62,1
05/05/2020,243,52,0
06/05/2020,214,53,0
07/05/2020,229,62,1
08/05/2020,218,55,1
09/05/2020,238,47,2
10/05/2020,185,39,0
11/05/2020,146,37,1
12/05/2020,155,46,0
13/05/2020,166,46,1
14/05/2020,169,39,0
15/05/2020,159,36,2
16/05/2020,160,42,0
17/05/2020,149,21,1
18/05/2020,149,30,0
19/05/2020,129,32,1
20/05/2020,110,32,1
21/05/2020,113,22,0
22/05/2020,99,30,1
23/05/2020,100,23,0
24/05/2020,94,26,0
25/05/2020,90,19,0
26/05/2020,98,35,1
27/05/2020,97,14,0
28/05/2020,94,26,0
29/05/2020,77,17,0
30/05/2020,66,17,0
31/05/2020,66,20,0
01/06/2020,71,18,0
02/06/2020,79,13,0
03/06/2020,53,19,1
04/06/2020,58,22,0
05/06/2020,63,13,0
06/06/2020,34,5,0
07/06/2020,46,11,0
08/06/2020,47,11,0
09/06/2020,40,8,0
10/06/2020,48,9,0
11/06/2020,37,9,0
12/06/2020,36,4,1
